Kids_First_Biospecimen_ID	count_regions_high_conf	count_regions_low_conf	any_high_conf	any_low_conf
BS_APAQ2X2S	1	1	TRUE	TRUE
BS_AQECMDPP	0	0	FALSE	FALSE
BS_AQQY8HMR	0	0	FALSE	FALSE
BS_AR2BH0Z4	1	1	TRUE	TRUE
BS_ARE4EM81	0	0	FALSE	FALSE
BS_ASXY97FK	0	0	FALSE	FALSE
BS_AVS4DSZW	0	0	FALSE	FALSE
BS_AWDQEKK1	0	0	FALSE	FALSE
BS_AXM96K20	0	0	FALSE	FALSE
BS_AXW0XBH8	0	0	FALSE	FALSE
BS_AYPBAHJ6	0	0	FALSE	FALSE
BS_B1X2SB4P	0	0	FALSE	FALSE
BS_B3RH9V17	0	0	FALSE	FALSE
BS_B4DY7ET3	0	0	FALSE	FALSE
BS_B4P1NP87	0	0	FALSE	FALSE
BS_B558FJXC	0	0	FALSE	FALSE
BS_B6K0N6HS	1	1	TRUE	TRUE
BS_B6KCJF2B	0	0	FALSE	FALSE
BS_B73JK7T1	1	1	TRUE	TRUE
BS_B94G701Q	0	0	FALSE	FALSE
BS_B9QP40ER	0	0	FALSE	FALSE
BS_BA0M71QZ	0	1	FALSE	TRUE
BS_BAVWP5JG	0	0	FALSE	FALSE
BS_BBCM52QE	0	1	FALSE	TRUE
BS_BBHFKBE7	0	0	FALSE	FALSE
BS_BD4RQ1G0	0	0	FALSE	FALSE
BS_BFDEZK1C	0	0	FALSE	FALSE
BS_BM95DGCQ	0	0	FALSE	FALSE
BS_BMHYK93N	1	1	TRUE	TRUE
BS_BNFCXVYZ	0	0	FALSE	FALSE
BS_BQ81D2BP	0	0	FALSE	FALSE
BS_BR1X3R68	0	0	FALSE	FALSE
BS_BS5X4H0Y	0	0	FALSE	FALSE
BS_BSM3ZHW4	0	0	FALSE	FALSE
BS_BVD7PWP5	0	0	FALSE	FALSE
BS_BWZTMWTM	0	0	FALSE	FALSE
BS_BX8AR74E	0	0	FALSE	FALSE
BS_BYJDRXMK	0	0	FALSE	FALSE
BS_BZ4GKDP4	0	0	FALSE	FALSE
BS_BZWM455T	0	0	FALSE	FALSE
BS_C0YDDQKB	0	0	FALSE	FALSE
BS_C19DFVR5	0	1	FALSE	TRUE
BS_C1RRDNF5	2	2	TRUE	TRUE
BS_C3KDA5ZC	0	1	FALSE	TRUE
BS_C3X4AEK5	0	0	FALSE	FALSE
BS_C5RDMCCS	0	0	FALSE	FALSE
BS_C6GBYR17	0	0	FALSE	FALSE
BS_CBMAWSAR	0	0	FALSE	FALSE
BS_CDKC1E2B	0	0	FALSE	FALSE
BS_CFEWVDG1	0	0	FALSE	FALSE
BS_CFPWSZB5	0	1	FALSE	TRUE
BS_CGCNC41M	0	0	FALSE	FALSE
